,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,others
2235,0.0,4.41,136,27.21,almazar,5.0,63.97,0
132063,0.0,13.18,129,6.98,tagatac,5.0,64.34,0
96017,0.0,0.0,193,0.0,nhean,5.0,96.89,0
85659,0.0,0.0,123,4.07,matillano,5.0,91.87,0
89507,0.0,5.76,330,8.48,mesteth,5.0,83.94,0
65655,0.0,5.83,120,11.67,kahananui,5.0,52.5,0
131694,0.0,0.0,147,0.0,sysavath,5.0,95.92,0
68643,0.0,0.0,206,0.0,kilaru,5.0,96.12,0
111817,0.0,7.21,111,8.11,ricasa,5.0,77.48,0
79588,0.0,2.84,317,1.58,locquiao,5.0,90.85,0
1785,0.0,6.25,176,11.93,alconcel,5.0,68.75,0
145026,0.0,10.92,119,0.0,whiteowl,5.0,76.47,0
26583,0.0,39.27,275,5.09,corbine,5.0,52.0,0
144988,0.0,9.23,542,4.43,whiteeagle,5.0,77.12,0
77583,0.0,0.0,113,7.08,leomiti,5.0,76.11,0
45057,0.0,13.01,123,30.08,frando,5.0,53.66,0
101820,4.55,9.74,154,3.9,patawaran,5.0,75.32,0
35352,28.73,9.33,268,4.1,doobay,5.0,51.49,0
112324,0.0,8.59,128,10.94,rimorin,5.0,78.91,0
19171,0.0,0.0,271,0.0,butac,5.0,92.62,0
3393,0.0,14.72,163,18.4,andrion,5.0,59.51,0
115957,0.0,0.0,762,1.31,saephanh,5.0,96.85,0
66502,0.0,0.0,146,0.0,karamchandani,5.0,93.15,0
141575,0.0,2.88,208,3.37,vinoya,5.0,89.9,0
66321,0.0,0.0,112,0.0,kansagra,5.0,95.54,0
116623,0.0,8.82,204,12.75,saludares,5.0,65.2,0
48027,0.0,7.41,135,8.15,geluz,5.0,82.22,0
114686,0.0,5.13,156,9.62,rualo,5.0,71.79,0
46630,0.0,0.0,289,5.19,gamiao,5.0,85.12,0
147489,0.0,7.97,138,0.0,xayachack,5.0,86.23,0
46666,0.0,0.0,123,4.07,ganancial,5.0,72.36,0
131334,0.0,40.27,149,0.0,swayney,5.0,51.01,0
19496,0.0,0.0,139,0.0,cabasag,5.0,83.45,0
130744,0.0,5.45,202,9.9,sumabat,5.0,78.71,0
69302,3.63,11.4,193,5.7,kisto,5.0,76.17,0
258,0.0,0.0,149,0.0,abille,5.0,89.93,0
109641,0.0,0.0,179,3.35,rasay,5.0,82.68,0
137063,0.0,8.06,124,11.29,tsoodle,5.0,71.77,0
52972,0.0,9.76,123,9.76,guadiz,5.0,68.29,0
124670,0.0,3.23,186,0.0,sivongxay,5.0,90.32,0
144559,0.0,18.01,211,0.0,wesaw,5.0,71.09,0
107226,0.0,8.55,117,7.69,prodigalidad,5.0,76.92,0
233,0.0,3.66,164,9.76,abenoja,5.0,78.05,0
92111,0.0,0.0,132,6.82,montefalcon,5.0,87.12,0
138587,0.0,0.0,115,0.0,vaenuku,5.0,86.09,0
24312,0.0,0.0,111,0.0,chunduru,5.0,100.0,0
11613,0.0,3.53,170,0.0,bhangoo,5.0,94.12,0
851,0.0,0.0,118,0.0,afaga,5.0,87.29,0
5815,0.0,4.72,127,0.0,auyong,5.0,72.44,0
12728,0.0,0.0,114,8.77,blackcrow,5.0,87.72,0
11595,16.57,11.24,338,6.21,bhagwandin,5.0,59.17,0
9918,0.0,4.07,123,17.07,belandres,5.0,73.17,0
76232,0.0,42.04,647,2.32,lavallie,5.0,50.23,0
137101,0.0,9.4,117,0.0,tuano,5.0,87.18,0
136106,0.0,0.0,143,4.2,transfiguracion,5.0,85.31,0
124664,0.0,2.02,297,0.0,sivilay,5.0,92.93,0
42962,0.0,4.55,132,0.0,fineday,5.0,91.67,0
138072,0.0,0.0,122,0.0,umipig,5.0,87.7,0
36773,0.0,3.94,127,0.0,dumadag,5.0,81.1,0
83805,0.0,0.0,110,5.45,manlulu,5.0,93.64,0
90771,0.0,7.46,134,0.0,minoza,5.0,86.57,0
138197,0.0,0.0,110,0.0,upadhyayula,5.0,100.0,0
55288,0.0,2.44,205,3.41,hansana,5.0,92.2,0
36456,0.0,20.27,370,2.7,ducheneaux,5.0,69.46,0
5038,0.0,4.35,161,31.68,ascano,5.0,63.35,0
103999,0.0,3.52,142,0.0,phath,5.0,89.44,0
91867,0.0,15.65,115,0.0,mondala,5.0,80.0,0
1122,0.0,7.14,182,10.99,agliam,5.0,69.23,0
25746,0.0,25.83,120,7.5,colhoff,5.0,55.83,0
108306,0.0,4.55,110,10.0,quinene,5.0,65.45,0
150290,0.0,0.0,118,0.0,zunie,5.0,97.46,0
1150,0.0,0.0,247,4.86,agonoy,5.0,91.09,0
104038,0.0,0.0,189,0.0,philavong,5.0,94.18,0
125841,0.0,20.08,244,0.0,sockey,5.0,70.08,0
81112,0.0,1.71,351,1.99,lugtu,5.0,93.16,0
83635,0.0,4.93,142,9.15,mangabat,5.0,81.69,0
67571,0.0,5.19,212,4.25,kekauoha,5.0,53.77,0
118062,0.0,5.78,173,0.0,sayasane,6.0,89.02,0
19463,0.0,6.57,137,0.0,cabael,6.0,71.53,0
97359,0.0,3.81,236,2.54,nugyen,6.0,89.41,0
19483,0.0,3.36,268,6.34,cabanban,6.0,79.48,0
23772,0.0,0.0,184,0.0,chigurupati,6.0,97.83,0
5891,0.0,6.2,129,0.0,averion,6.0,88.37,0
117181,0.0,6.72,119,10.92,sanmateo,6.0,78.15,0
23831,16.36,10.0,110,5.45,chinapen,6.0,60.91,0
123934,0.0,2.47,730,1.23,siharath,6.0,90.68,0
116808,0.0,0.0,150,0.0,samnani,6.0,94.67,0
116862,0.0,0.0,144,0.0,samreth,6.0,90.97,0
23019,0.0,2.66,263,2.66,chanthalangsy,6.0,91.25,0
23020,0.0,3.47,144,0.0,chantharath,6.0,85.42,0
128951,0.0,8.79,239,0.0,stiffarm,6.0,84.52,0
22532,0.0,9.01,233,2.15,ceralde,6.0,78.11,0
6932,0.0,5.6,268,11.19,balangue,6.0,76.49,0
