,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,other
50251,87.29,11.02,118,0.0,goffner,5.0,0.0,0
34250,90.37,0.0,135,0.0,dinnall,5.0,0.0,0
127324,85.82,0.0,141,0.0,sprewer,5.0,0.0,0
60079,90.76,0.0,119,0.0,holliness,5.0,0.0,0
132683,96.4,0.0,111,0.0,tarlue,5.0,0.0,0
113048,75.61,0.0,123,0.0,rockymore,5.0,0.0,0
113051,91.27,2.62,229,0.0,rocquemore,5.0,0.0,0
113998,81.98,8.14,172,0.0,roseburgh,5.0,0.0,0
77815,89.51,0.0,162,4.32,lessane,5.0,0.0,0
74043,87.08,6.22,209,0.0,laboo,5.0,0.0,0
74052,50.0,42.35,170,0.0,laborn,5.0,0.0,0
7235,84.07,4.42,113,6.19,balmir,5.0,0.0,0
2594,80.95,5.56,126,0.0,alsberry,5.0,0.0,0
16123,84.8,4.0,125,0.0,bratchett,5.0,0.0,0
20157,78.88,5.6,232,7.33,cameau,5.0,0.0,0
15449,94.92,0.0,177,3.39,bovain,5.0,0.0,0
145045,60.25,37.27,161,0.0,whitiker,5.0,0.0,0
133961,97.83,0.0,184,0.0,thermitus,5.0,0.0,0
84541,62.1,35.48,124,0.0,marioneaux,5.0,0.0,0
35730,94.0,0.0,150,0.0,doukoure,5.0,0.0,0
1771,93.28,0.0,119,0.0,alcenat,5.0,0.0,0
55514,90.27,0.0,113,0.0,hardney,5.0,0.0,0
120409,85.11,7.09,141,0.0,scisney,5.0,0.0,0
43932,60.38,34.73,1166,1.72,fomby,5.0,0.0,0
26538,90.98,0.0,122,4.1,coprich,5.0,0.0,0
4927,95.83,0.0,168,0.0,artison,5.0,0.0,0
35643,96.59,0.0,293,0.0,dossous,5.0,0.0,0
35501,95.3,0.0,383,2.35,dormeus,5.0,0.0,0
8494,86.77,7.41,189,2.65,barze,5.0,0.0,0
31253,75.95,15.19,158,0.0,dejournette,5.0,0.0,0
115856,94.94,0.0,237,0.0,sackor,5.0,0.0,0
129904,93.79,3.79,290,0.0,striggles,5.0,0.0,0
87354,60.71,28.57,112,4.46,mcgoy,5.0,0.0,0
116780,79.82,7.02,114,0.0,samilton,5.0,0.0,0
87601,61.04,33.77,154,0.0,mckibbins,5.0,0.0,0
141806,50.99,46.28,806,1.24,viverette,5.0,0.0,0
29877,87.37,2.69,372,6.18,darbouze,5.0,0.0,0
116199,90.85,3.65,1562,1.92,saintlouis,5.0,0.0,0
87706,83.06,6.45,124,6.45,mclawrence,5.0,0.0,0
18227,95.63,0.0,229,0.0,buggage,5.0,0.0,0
86446,93.07,0.0,303,0.0,mcburrows,5.0,0.0,0
145797,62.3,29.92,244,0.0,willilams,5.0,2.87,0
32936,94.87,0.0,409,3.91,desravines,5.0,0.0,0
32741,87.16,0.0,148,10.81,dervil,5.0,0.0,0
32839,56.91,39.23,362,0.0,deshazier,5.0,0.0,0
89290,92.44,0.0,172,3.49,merilus,5.0,0.0,0
131337,89.87,1.56,385,0.0,swayzer,5.0,0.0,0
2651,95.51,0.0,156,0.0,altema,5.0,0.0,0
2666,82.77,6.08,296,8.11,altenor,5.0,0.0,0
49693,84.36,7.82,179,0.0,glasker,5.0,0.0,0
17433,68.67,26.1,249,0.0,brownsmith,5.0,0.0,0
49221,50.87,45.88,861,1.51,gillins,5.0,0.0,0
3147,66.06,17.43,218,5.96,ampey,5.0,0.0,0
32022,94.17,0.0,120,0.0,demesmin,5.0,0.0,0
128605,74.19,20.56,248,2.02,stemley,5.0,0.0,0
29361,93.86,0.0,114,0.0,dalce,5.0,0.0,0
58641,71.6,23.79,1215,1.81,hickmon,5.0,0.0,0
137448,69.57,17.93,184,0.0,turmon,5.0,0.0,0
12926,88.89,3.03,198,2.53,blanson,5.0,0.0,0
109667,91.74,0.0,242,0.0,rashada,5.0,0.0,0
39541,59.84,24.59,122,0.0,enyard,5.0,0.0,0
12890,88.5,3.48,287,2.09,blango,5.0,0.0,0
109938,93.62,1.71,1520,1.12,ravenell,5.0,0.99,0
110122,92.31,5.49,273,0.0,reado,5.0,0.0,0
5600,91.89,0.0,111,0.0,audige,5.0,0.0,0
5728,95.21,0.0,188,3.19,aurelus,5.0,0.0,0
82600,53.49,0.0,129,6.98,mahabeer,5.0,24.03,0
107703,96.0,0.0,150,0.0,pulphus,5.0,0.0,0
11532,72.47,15.17,178,3.37,bevly,5.0,0.0,0
93340,96.59,0.0,176,0.0,muex,5.0,0.0,0
38742,61.24,30.9,178,2.81,elhag,5.0,0.0,0
38753,94.83,0.0,290,0.0,eliacin,5.0,0.0,0
93382,90.44,0.0,136,4.41,muhina,5.0,0.0,0
109159,51.01,6.06,198,4.04,ramdath,5.0,27.780000000000000,0
39735,84.07,4.95,182,3.85,erkins,5.0,3.3,0
41383,80.6,11.94,201,4.98,farria,5.0,0.0,0
143301,90.37,4.04,322,0.0,warnsley,5.0,0.0,0
110960,58.16,38.3,564,0.0,relford,5.0,0.0,0
21647,89.2,3.67,463,3.02,cashaw,5.0,0.0,0
90749,87.5,4.3,256,2.34,minnieweather,5.0,0.0,0
36901,85.42,6.67,240,5.83,dunkins,5.0,0.0,0
13886,91.83,0.0,208,3.85,boglin,5.0,0.0,0
134466,88.14,0.0,118,5.08,ticey,5.0,0.0,0
92378,55.81,42.79,215,0.0,morancy,5.0,0.0,0
36477,55.87,41.34,179,0.0,duckson,5.0,0.0,0
103257,77.03,4.05,148,16.22,perodin,5.0,0.0,0
