,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,Other
4496,0.0,1.67,300,92.33,ariaga,5.0,5.33,0
45555,0.0,4.95,182,91.21,fuentas,5.0,0.0,0
132457,0.0,2.66,188,95.74,tangarife,5.0,0.0,0
86214,0.0,3.18,1320,96.29,mazariego,5.0,0.0,0
77812,0.0,7.63,249,92.37,lespron,5.0,0.0,0
113960,0.0,12.1,124,69.35,rosaro,5.0,12.9,0
114195,0.0,8.19,171,91.81,rosquete,5.0,0.0,0
8538,0.0,10.66,122,89.34,bascope,5.0,0.0,0
33490,0.0,7.04,199,91.46,diazgranados,5.0,0.0,0
20344,0.0,11.11,189,88.89,canava,5.0,0.0,0
20461,0.0,3.38,798,94.86,canizalez,5.0,1.13,0
44275,3.92,0.0,153,91.5,fortiz,5.0,0.0,0
1714,0.0,7.63,249,87.95,albiar,5.0,2.41,0
1728,0.0,2.99,201,95.52,albizures,5.0,0.0,0
139926,0.0,6.77,133,91.73,vaquedano,5.0,0.0,0
21346,0.0,9.84,183,89.62,carratala,5.0,0.0,0
26602,0.0,3.01,166,96.99,corcoles,5.0,0.0,0
95066,0.0,13.07,153,85.62,naveja,5.0,0.0,0
43939,0.0,14.64,280,82.5,fonceca,5.0,0.0,0
94952,0.0,1.77,453,97.57,nataren,5.0,0.0,0
111531,0.0,3.19,784,96.3,revolorio,5.0,0.0,0
84225,13.04,8.7,138,76.81,marchany,5.0,0.0,0
27353,0.0,4.72,127,91.34,covos,5.0,0.0,0
20981,0.0,4.92,122,56.56,cardeno,5.0,35.25,0
101995,0.0,7.73,207,91.79,pauda,5.0,0.0,0
148416,0.0,13.64,132,84.09,yribe,5.0,0.0,0
6973,0.0,4.89,184,95.11,balcacer,5.0,0.0,0
27086,0.0,5.58,233,94.42,cotero,5.0,0.0,0
44528,0.0,16.95,820,80.37,fraijo,5.0,1.34,0
148667,0.0,4.46,202,82.67,zagada,5.0,12.87,0
90152,0.0,2.24,223,97.31,mijarez,5.0,0.0,0
95602,0.0,7.35,136,87.5,nerios,5.0,0.0,0
19151,0.0,0.0,126,92.06,bustamantes,5.0,3.97,0
3868,0.0,0.0,208,98.56,anzurez,5.0,0.0,0
141361,0.0,0.0,133,98.5,villalbazo,5.0,0.0,0
47692,0.0,0.0,338,99.11,gazca,5.0,0.0,0
146265,0.0,20.13,149,78.52,wiscovitch,5.0,0.0,0
31004,0.0,9.55,314,89.17,degarcia,5.0,0.0,0
117245,2.15,8.58,233,87.12,santago,5.0,2.15,0
99147,0.0,3.62,2347,95.74,orduno,5.0,0.3,0
31826,0.0,27.32,194,66.49,delrosa,5.0,2.58,0
30994,0.0,9.09,143,87.41,degado,5.0,0.0,0
88474,0.0,3.85,130,81.54,mehia,5.0,9.23,0
99033,0.0,3.57,196,96.43,oporta,5.0,0.0,0
31637,0.0,24.88,209,73.21,dellano,5.0,0.0,0
