,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,other
35634,13.62,71.29,6137,10.2,dossantos,5.0,2.65,0
29509,0.21,94.18,4275,3.53,dambrosio,5.0,0.8900000000000000,0
98225,0.0,93.28,3289,3.74,ohalloran,5.0,1.03,0
98734,1.93,92.09,3162,3.61,oloughlin,5.0,0.0,0
144373,0.0,98.3,3173,0.98,wengerd,6.0,0.19,0
98240,0.78,94.7,5128,2.75,ohare,8.0,0.5700000000000000,0
99335,0.58,94.11,16457,2.62,orourke,10.0,1.37,0
99804,0.46,95.31,10842,2.43,otoole,10.0,0.8300000000000000,0
128180,8.12,84.73,14590,2.45,stclair,14.0,2.64,0
99761,1.72,93.83,11818,2.26,osullivan,14.0,0.95,0
98797,0.39,95.24,17588,2.12,omalley,14.0,0.89,0
139518,0.57,95.64,4383,1.6,vanhouten,14.0,0.98,0
29625,0.73,93.75,5310,3.6,dandrea,15.0,0.55,0
97785,3.25,91.07,3203,2.97,obrian,16.0,1.22,0
129006,0.27,97.65,3709,0.7,stiltner,17.0,0.48,0
124785,1.82,93.92,3617,2.24,skeens,18.0,0.5800000000000000,0
128857,3.8,90.68,3026,2.41,stgeorge,19.0,1.46,0
139546,0.33,95.57,3073,1.56,vankirk,20.0,1.1,0
139901,0.56,92.08,7811,2.55,vanwinkle,20.0,3.01,0
129588,4.41,89.98,9638,1.72,stpierre,21.0,2.27,0
98362,0.36,94.72,17414,2.66,okeefe,21.0,1.0,0
97879,0.32,95.42,36194,2.2,oconnell,22.0,0.77,0
129119,5.66,86.41,15843,3.34,stjohn,23.0,2.91,0
68203,0.76,95.05,3029,1.22,ketterman,23.0,1.49,0
98813,0.56,94.83,4801,1.81,omeara,24.0,1.19,0
131489,0.27,95.93,3758,1.65,swiger,24.0,0.91,0
125319,0.44,95.94,3175,1.95,sluder,25.0,0.79,0
87682,13.43,82.97,3106,1.45,mclamb,27.0,0.0,0
139706,4.64,89.23,6685,2.2,vanpelt,27.0,2.66,0
32408,5.77,83.45,4072,7.42,deoliveira,28.0,1.9100000000000000,0
98548,1.03,93.69,22329,2.59,oleary,30.0,1.19,0
99552,0.56,95.27,10531,2.64,oshea,30.0,0.8200000000000000,0
97981,0.47,95.1,43460,2.38,odonnell,31.0,0.8300000000000000,0
4226,0.23,96.17,3051,2.33,amburgey,31.0,0.0,0
74412,0.91,87.41,3639,2.42,lafountain,33.0,7.0600000000000000,0
118217,0.58,94.97,3818,1.68,scarberry,34.0,0.97,0
29232,0.21,94.53,8388,3.64,dagostino,34.0,0.6600000000000000,0
120607,0.51,92.75,3752,1.63,seabolt,35.0,3.15,0
118142,0.61,96.01,3433,1.69,scalf,38.0,0.61,0
60071,3.12,93.46,4525,1.33,hollifield,41.0,0.8900000000000000,0
78861,1.47,95.27,3276,1.4,lineberry,42.0,0.65,0
20917,0.6,95.1,3184,2.04,carbaugh,43.0,1.03,0
139510,3.19,91.25,14151,2.88,vanhorn,43.0,1.01,0
139915,7.75,86.77,3469,2.36,vanzandt,45.0,1.21,0
136112,2.91,91.37,3304,1.82,trantham,45.0,1.78,0
29667,1.0,93.51,8802,4.09,dangelo,45.0,0.5700000000000000,0
131256,2.57,92.96,3536,2.26,swanger,45.0,0.96,0
108213,0.33,94.99,3630,2.56,quesenberry,46.0,0.69,0
96089,18.72,76.09,3664,1.86,nickelson,47.0,1.2,0
60034,18.67,75.9,3320,2.38,hollaway,47.0,1.14,0
139010,18.9,76.95,5874,1.65,vanburen,47.0,0.5900000000000000,0
101999,0.97,94.7,3626,1.41,paugh,51.0,1.24,0
85600,0.32,95.55,3442,0.81,matherne,54.0,2.09,0
42131,0.39,96.41,3341,1.35,feltner,58.0,0.63,0
115492,15.08,79.03,5523,2.21,ryals,59.0,1.56,0
53450,9.53,85.88,3810,1.71,gulledge,59.0,1.02,0
67902,0.16,95.6,3184,1.22,kensinger,60.0,1.06,0
130962,0.25,94.48,4037,2.43,surber,62.0,1.51,0
98891,0.94,92.67,50028,3.99,oneill,63.0,1.04,0
57473,0.63,95.5,3641,1.51,helsel,63.0,1.23,0
45462,10.13,84.84,3266,2.94,fruge,63.0,0.71,0
139012,0.37,93.75,5073,2.82,vanbuskirk,64.0,1.34,0
21468,15.76,79.26,3173,2.65,cartee,64.0,1.1,0
115177,0.98,94.93,3154,1.78,runion,65.0,0.8600000000000000,0
7074,10.72,83.94,3032,2.84,balentine,66.0,0.85,0
23194,0.68,95.64,3805,1.16,chasteen,66.0,1.13,0
122489,21.48,74.43,3399,1.77,shearin,66.0,0.56,0
122893,0.63,95.8,8544,1.5,shifflett,68.0,0.6500000000000000,0
59494,0.28,96.14,3242,2.16,hockman,69.0,0.49,0
57138,3.94,92.53,6881,1.56,heims,70.0,0.72,0
24210,0.49,95.67,3441,1.69,christner,71.0,1.05,0
27840,0.64,95.03,3419,2.57,cripe,71.0,0.73,0
139500,17.8,77.2,3720,2.2,vanhook,72.0,0.9400000000000000,0
12095,0.8,95.36,3855,1.71,bilbrey,73.0,0.71,0
59466,0.0,98.23,6372,0.74,hochstetler,73.0,0.25,0
72304,0.17,93.99,4111,2.09,kreger,74.0,1.99,0
133137,1.04,94.5,3089,1.88,teets,75.0,0.94,0
88840,0.0,95.8,4552,1.56,mellott,76.0,0.64,0
60110,1.6,92.59,3686,2.6,hollon,76.0,1.25,0
93555,0.23,94.99,3033,1.81,mullikin,77.0,1.29,0
24246,0.16,93.67,3205,2.4,chronister,77.0,1.75,0
139503,1.73,94.14,3585,1.12,vanhoose,77.0,1.03,0
22235,16.52,76.71,3456,2.66,caviness,78.0,1.97,0
54596,4.56,89.93,3883,2.27,halcomb,78.0,1.23,0
52362,0.24,95.05,3754,2.18,grindstaff,79.0,1.04,0
97881,2.12,92.81,77923,2.61,oconnor,79.0,1.08,0
33894,0.0,95.06,4051,3.31,digiacomo,79.0,0.47,0
139772,0.32,95.55,5994,1.84,vansickle,80.0,1.1200000000000000,0
139659,5.54,88.3,3991,2.58,vannoy,80.0,1.3,0
15647,0.2,94.02,3531,2.12,bozarth,80.0,1.3600000000000000,0
101520,0.51,94.19,3737,2.06,partain,80.0,1.73,0
93557,0.53,96.2,4679,1.3,mullinax,82.0,0.71,0
130366,6.89,89.69,3541,1.67,stutts,82.0,0.48,0
67472,0.83,94.63,3391,1.56,kegley,82.0,1.2400000000000000,0
127403,7.32,87.42,3195,2.32,spurlin,83.0,1.19,0
96829,0.22,98.87,3634,0.28,nolt,84.0,0.0,0
141148,2.21,95.38,3029,1.02,vidrine,84.0,0.0,0
34034,0.78,95.67,3464,1.59,dillow,84.0,0.8300000000000000,0
132895,0.36,95.63,3068,1.01,taulbee,84.0,1.17,0
144756,3.28,92.66,3379,1.92,wethington,84.0,1.06,0
31998,0.96,74.28,3868,6.64,demello,85.0,9.39,0
88413,0.65,92.59,3875,2.79,mefford,87.0,1.52,0
59280,1.04,93.54,3081,2.4,hiser,88.0,1.26,0
105980,3.1,91.78,3295,2.09,polston,88.0,1.28,0
68631,1.85,93.84,3197,2.25,kiker,90.0,0.88,0
54775,0.34,94.3,4156,2.62,halterman,90.0,1.13,0
139024,3.28,90.75,3847,3.12,vancleave,90.0,0.8600000000000000,0
85684,0.87,94.13,5518,2.17,matney,91.0,1.03,0
70211,0.76,95.42,3273,1.96,knisley,92.0,0.55,0
55850,14.76,69.13,3644,11.88,hartin,92.0,1.95,0
49182,4.87,91.09,3041,1.78,gillenwater,92.0,0.75,0
8320,36.37,56.11,3099,2.61,bartee,93.0,1.45,0
69815,0.17,96.85,3551,1.58,klingensmith,93.0,0.53,0
