,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,other
95958,0.0,99.65,1426,0.0,newswanger,5.0,0.0,0
79298,0.0,97.18,1100,1.82,litwiller,5.0,0.45,0
139921,0.0,87.63,1035,2.03,vanzile,5.0,8.21,0
77466,0.46,98.44,1538,0.46,lengacher,5.0,0.0,0
47663,0.88,95.5,1133,1.85,gayhart,5.0,0.0,0
29512,0.0,94.09,1168,3.08,damelio,5.0,0.77,0
31455,0.58,96.69,1026,0.0,delawder,5.0,0.0,0
98190,0.42,93.87,2397,3.84,ogorman,5.0,0.88,0
128185,0.0,93.62,1035,2.9,stdenis,5.0,0.87,0
29137,22.39,62.73,1304,10.74,dacruz,5.0,0.0,0
138927,8.0,84.83,1338,1.49,vanalstyne,5.0,0.0,0
138936,0.0,93.68,1314,3.5,vanantwerp,5.0,0.53,0
81506,0.47,96.21,1055,1.52,lutterman,5.0,0.76,0
139505,0.0,95.58,1313,1.22,vanhooser,5.0,0.53,0
97635,29.68,63.89,2675,2.5,obannon,6.0,1.04,0
25690,0.44,93.54,1130,2.65,colclasure,6.0,1.86,0
119819,0.0,96.6,1384,1.23,schrecengost,6.0,0.36,0
62937,0.0,95.06,1173,1.53,ipock,6.0,1.11,0
101887,0.86,88.21,1162,1.89,patnaude,6.0,6.97,0
14812,0.0,99.09,1104,0.0,borkholder,6.0,0.54,0
16044,10.44,87.7,1130,0.88,branscome,6.0,0.0,0
139904,0.0,96.46,2064,1.5,vanwormer,6.0,0.44,0
139866,0.66,94.03,1674,2.63,vanvliet,6.0,1.08,0
79770,0.68,90.75,1178,4.67,logston,6.0,2.2,0
38425,0.0,97.33,1049,0.67,eilerman,6.0,0.48,0
139511,9.68,84.49,1322,2.95,vanhorne,6.0,0.0,0
138420,0.0,95.47,1302,1.77,uselton,6.0,1.0,0
2489,4.34,91.58,1521,1.18,alewine,6.0,0.8500000000000000,0
138972,0.58,96.81,2225,1.03,vanbeek,7.0,0.71,0
138987,1.12,95.32,1068,1.97,vanbibber,7.0,0.0,0
